event_time,cycle_id,deployment_generation,model_name,model_version,prediction,actual_breakage,drift_score,latency_ms,segment
2026-03-09 22:41:07.493285+00,214,2,cnc_tool_breakage_classifier,2,1,1,0.333208,153.4569,before_update
2026-03-09 22:41:07.544282+00,215,2,cnc_tool_breakage_classifier,2,1,1,0.240962,159.3102,before_update
2026-03-09 22:41:07.595295+00,216,2,cnc_tool_breakage_classifier,2,1,1,0.319538,151.4425,before_update
2026-03-09 22:41:07.646357+00,217,2,cnc_tool_breakage_classifier,2,1,1,0.354913,170.0633,before_update
2026-03-09 22:41:07.697129+00,218,2,cnc_tool_breakage_classifier,2,1,1,0.220699,162.2524,before_update
2026-03-09 22:41:07.748403+00,219,2,cnc_tool_breakage_classifier,2,1,1,0.333784,152.5314,before_update
2026-03-09 22:41:07.800396+00,220,2,cnc_tool_breakage_classifier,2,1,1,0.299579,50.2963,before_update
2026-03-09 22:41:07.851132+00,221,2,cnc_tool_breakage_classifier,2,1,0,0.232171,111.3613,before_update
2026-03-09 22:41:07.902287+00,222,2,cnc_tool_breakage_classifier,2,1,1,0.331139,129.991,before_update
2026-03-09 22:41:07.953201+00,223,2,cnc_tool_breakage_classifier,2,1,0,0.249672,147.8798,before_update
2026-03-09 22:41:08.004464+00,224,2,cnc_tool_breakage_classifier,2,1,1,0.163557,135.3007,before_update
2026-03-09 22:41:08.056254+00,225,2,cnc_tool_breakage_classifier,2,1,1,0.301449,88.1265,before_update
2026-03-09 22:41:08.107258+00,226,2,cnc_tool_breakage_classifier,2,1,1,0.296037,135.9997,before_update
2026-03-09 22:41:08.158227+00,227,2,cnc_tool_breakage_classifier,2,1,1,0.344625,115.5353,before_update
2026-03-09 22:41:08.209154+00,228,2,cnc_tool_breakage_classifier,2,1,1,0.299507,149.9208,before_update
2026-03-09 22:41:08.260406+00,229,2,cnc_tool_breakage_classifier,2,1,0,0.251973,146.7517,before_update
2026-03-09 22:41:08.311221+00,230,2,cnc_tool_breakage_classifier,2,1,1,0.284437,144.5967,before_update
2026-03-09 22:41:08.362146+00,231,2,cnc_tool_breakage_classifier,2,1,1,0.320982,147.242,before_update
2026-03-09 22:41:08.413212+00,232,2,cnc_tool_breakage_classifier,2,1,1,0.227985,137.2667,before_update
2026-03-09 22:41:08.464184+00,233,2,cnc_tool_breakage_classifier,2,1,1,0.295425,45.7113,before_update
2026-03-09 22:41:08.515283+00,234,2,cnc_tool_breakage_classifier,2,1,1,0.187846,144.9478,before_update
2026-03-09 22:41:08.566104+00,235,2,cnc_tool_breakage_classifier,2,1,1,0.233394,136.7021,before_update
2026-03-09 22:41:08.617163+00,236,2,cnc_tool_breakage_classifier,2,1,1,0.199735,168.9241,before_update
2026-03-09 22:41:08.668089+00,237,2,cnc_tool_breakage_classifier,2,0,1,0.342716,163.7669,before_update
2026-03-09 22:41:08.719198+00,238,2,cnc_tool_breakage_classifier,2,0,1,0.181137,195.6565,before_update
2026-03-09 22:41:08.770195+00,239,2,cnc_tool_breakage_classifier,2,1,1,0.189699,248.6492,before_update
2026-03-09 22:41:08.821272+00,240,2,cnc_tool_breakage_classifier,2,0,0,0.29153,223.3062,before_update
2026-03-09 22:41:08.872092+00,241,2,cnc_tool_breakage_classifier,2,1,1,0.308608,162.8806,before_update
