record_type,observed_at,event_time,cycle_id,latency_ms,prediction,actual_breakage,drift_score,model_name,model_version,cpu_pct,mem_usage_mib,mem_limit_mib,mem_pct
inference_event,,2026-03-09 22:27:27.573798+00,15,62.68,1,1,0.266544,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.624842+00,16,24.9255,1,1,0.320826,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.675847+00,17,2.9786,0,1,0.226476,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.72706+00,18,35.746,1,0,0.306732,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.777901+00,19,2.9776,1,1,0.215657,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.829179+00,20,7.3662,1,0,0.324589,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.881213+00,21,5.9655,1,1,0.208495,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.933168+00,22,7.2175,1,1,0.288373,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.984254+00,23,8.7745,1,1,0.346885,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.035548+00,24,16.514,0,1,0.415339,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.0874+00,25,7.0817,1,1,0.157699,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.141305+00,26,4.2639,1,1,0.202482,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.196706+00,27,21.4465,0,0,0.277261,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.250189+00,28,84.1726,1,1,0.193981,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.300823+00,29,3.7195,0,1,0.333381,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.35216+00,30,7.7338,1,1,0.311792,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.404151+00,31,22.3981,1,0,0.274217,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.455085+00,32,74.9305,1,1,0.239947,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.505877+00,33,76.8033,1,1,0.261173,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.558153+00,34,76.7165,1,1,0.164965,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.609126+00,35,75.95,1,0,0.223177,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.660082+00,36,75.582,1,1,0.314866,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.711096+00,37,76.6898,1,1,0.304396,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.762153+00,38,20.1124,1,0,0.146819,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.813102+00,39,38.6374,1,0,0.352659,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.864075+00,40,15.8871,1,1,0.264535,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.91516+00,41,2.9971,1,1,0.337204,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:28.966078+00,42,2.6077,1,1,0.207559,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.017114+00,43,3.1378,1,1,0.246491,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.068226+00,44,3.1929,0,1,0.273575,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.1216+00,45,50.2664,1,1,0.193761,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.172815+00,46,15.9864,0,1,0.186443,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.225049+00,47,3.929,1,0,0.270341,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.278393+00,48,7.3001,0,1,0.443328,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.331414+00,49,4.3545,1,0,0.160671,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.386542+00,50,7.2049,1,1,0.259741,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.441332+00,51,8.6459,0,1,0.347705,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.49708+00,52,13.7232,1,1,0.167677,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.551099+00,53,18.4761,1,1,0.188447,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.607086+00,54,12.0318,1,0,0.196958,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.663164+00,55,41.3113,0,0,0.353809,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.715033+00,56,6.3724,1,1,0.353881,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.770682+00,57,16.1538,1,1,0.257496,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.824874+00,58,4.6107,1,0,0.24631,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.881197+00,59,5.7603,1,1,0.212876,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.932542+00,60,10.9135,1,1,0.508372,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:29.987191+00,61,9.1293,0,1,0.274623,cnc_tool_breakage_classifier,1,,,,
